10001	Fried Rice Noodles	101	7	30	10
10001	Fried rice with egg	102	7	30	5
10001	Fried wonton	103	4	30	3
10001	Steamed dumpling	104	8	30	8
10001	Fried rice noodles	105	9	30	20
10001	Fried Noodles	106	9	30	2
10001	Fried bread	107	3	30	1
10001	Cold Rice Noodles	108	7	30	0
10001	Stir-Fried Rice Noodles	109	7	30	10
10001	Rice with Marinated Pork	110	13	30	15
10001	Soup Noodles with Spare Ribs	111	15	30	18
10001	Rice in Duck Soup	112	14	30	33
10001	Egg noodle	113	8	30	11
10001	Beef broth	114	8	30	22
10002	Five Combo	201	39	30	27
10002	Double Combo	202	69	30	12
10002	Twister	203	15	50	34
10002	Snack platter	204	49.9	50	23
10002	Original Recipe Chicken	205	15	50	23
10002	Four Combo	206	34	30	4
10002	Egg tart	207	7.8	50	5
10002	French fries	208	15	50	16
10002	Golden Nugget 	209	10	50	35
10002	Double Beef Tenderloin	210	20	50	22
10002	Sundae	211	10.5	50	34
10002	Popcorn Chicken	212	12	50	21
10002	Cokes	213	12	50	8
10002	Milk tea	214	9.9	50	2
10002	Three Combo	215	28.5	30	45
10002	Hot Wings	216	10	50	2
10003	Lemon squash	301	4	50	23
10003	Punched Fresh Orange	302	6	50	16
10003	Yellow Peach King	303	6	50	17
10003	Mango Pomelo Sago	304	10	50	9
10003	Strawberry Bobo	305	9	50	44
10003	Taro grape	306	8	50	21
10003	Lemon green tea	307	5	50	4
10003	Taro milk tea	308	8	50	24
10003	Pearl milk tea	309	6	50	24
10003	Oat milk tea	310	7	50	23
10003	Coconut milk tea	311	7	50	11
10003	Red bean milk tea	312	7	50	3
10003	Snow Pear Tremella	313	7	50	4
10003	Fuli milk tea	314	8	50	25
10003	Fuli Cocoa	315	8	50	24
10003	Peach in Spring	316	6	50	6
10003	Full Passion Fruit	317	7	50	9
